date;Kalenderwoche;SUM_Smartphone_Screen_Time;SUM_Tablet_Screen_Time;SUM_Total_Screen_Time;SP_Communication.ICT;SP_Entertainment;SP_Other;SP_Study...Work.ICT;SP_Social.Media;T_Communication.ICT;T_Entertainment;T_Other;T_Study...Work.ICT;T_Social.Media;Sleep_M_Time_to_Bed;Sleep_M_Time_Asleep;Sleep_M_Time_Awake;Sleep_M_Time_Got_U;MO_Time_to_get_asleep;MO_sleep_time;MO_time_to_get_up
21.05.23;21;4440;0;4440;420;840;3120;0;60;0;0;0;0;0;01:00;01:30;08:30;09:00;30;420;30
22.05.23;21;8100;0;8100;1020;1080;6000;0;0;0;0;0;0;0;23:30;00:00;06:30;07:00;30;390;30
23.05.23;21;5760;540;6300;2040;1020;2640;60;0;0;0;0;540;0;23:00;23:10;06:20;06:40;10;430;20
24.05.23;21;9420;720;10140;660;1140;7320;240;60;0;0;720;0;0;23:00;23:15;06:30;06:40;15;435;10
25.05.23;21;7140;1680;8820;1560;540;4800;0;240;0;0;0;1680;0;23:00;23:15;06:30;07:00;15;435;30
26.05.23;21;7860;13200;21060;1500;2280;3840;0;240;0;360;12480;360;0;23:00;23:30;06:30;07:15;30;420;45
27.05.23;21;8520;0;8520;3300;960;3960;60;240;0;0;0;0;0;23:30;23:30;06:30;06:45;0;420;15
28.05.23;22;10980;0;10980;1320;1140;6780;1560;180;0;0;0;0;0;00:00;00:15;08:00;08:00;15;465;0
29.05.23;22;3360;0;3360;120;660;2520;60;0;0;0;0;0;0;23:30;23:45;08:00;08:00;15;495;0
30.05.23;22;16620;480;17100;840;7680;6540;1380;180;0;420;0;60;0;23:30;23:45;06:20;06:35;15;395;15
31.05.23;22;19440;0;19440;1380;900;4920;11700;540;0;0;0;0;0;22:30;23:00;06:00;06:30;30;420;30
01.06.23;22;13260;0;13260;1680;7380;3240;960;0;0;0;0;0;0;22:45;23:00;06:05;06:25;15;425;20
02.06.23;22;16560;9000;25560;2520;7140;3480;2340;1080;0;0;9000;0;0;23:15;23:30;06:25;07:10;15;415;45
03.06.23;22;14160;0;14160;4440;6660;2640;420;0;0;0;0;0;0;23:00;23:25;06:20;06:45;25;415;25
04.06.23;23;17100;4380;21480;1560;9300;4800;1080;360;0;0;0;4380;0;23:30;23:45;07:00;07:20;15;435;20
05.06.23;23;17820;120;17940;3360;4380;6060;3780;240;0;120;0;0;0;22:45;23:00;06:30;07:00;15;450;30
06.06.23;23;11580;0;11580;4860;360;6000;300;60;0;0;0;0;0;22:45;23:00;06:30;07:20;15;450;50
07.06.23;23;14580;0;14580;1200;8220;4980;180;0;0;0;0;0;0;23:45;00:00;06:30;06:40;15;390;10
08.06.23;23;13920;0;13920;2760;7500;2460;1140;60;0;0;0;0;0;01:00;01:00;09:00;09:45;0;480;45
09.06.23;23;18240;0;18240;600;12900;2880;1800;60;0;0;0;0;0;22:45;23:00;06:30;07:00;15;450;30
10.06.23;23;12240;0;12240;2100;5880;3660;480;120;0;0;0;0;0;00:30;00:45;08:00;08:05;15;435;5
11.06.23;24;18900;60;18960;1920;2580;10920;3480;0;0;60;0;0;0;00:15;00:30;07:00;07:15;15;390;15
12.06.23;24;17280;300;17580;840;9720;6180;360;180;0;300;0;0;0;23:18;23:26;06:48;07:10;8;442;22
13.06.23;24;9180;0;9180;1200;2760;3840;1200;180;0;0;0;0;0;23:15;23:30;06:48;07:30;15;438;42
14.06.23;24;10440;0;10440;2700;3060;2580;2100;0;0;0;0;0;0;22:20;22:35;04:45;04:55;15;370;10
15.06.23;24;16560;0;16560;8760;720;5640;720;720;0;0;0;0;0;00:55;01:00;07:00;07:10;5;360;10
16.06.23;24;4200;0;4200;2280;360;1200;240;120;0;0;0;0;0;02:30;02:45;08:30;08:40;15;345;10
17.06.23;24;13440;0;13440;3780;1080;8220;120;240;0;0;0;0;0;01:00;01:05;09:00;09:15;5;475;15
18.06.23;25;10440;0;10440;3240;600;6120;360;120;0;0;0;0;0;23:45;00:00;07:00;07:15;15;420;15
19.06.23;25;15300;0;15300;2400;1200;10620;720;360;0;0;0;0;0;00:30;00:45;06:38;08:00;15;353;82
20.06.23;25;840;2464;3304;420;180;240;0;0;720;1500;0;240;0;23:45;00:00;07:00;08:00;15;420;60
21.06.23;25;1560;7923;9483;600;480;420;60;0;720;2400;180;4620;0;00:00;00:10;06:30;07:10;10;380;40
22.06.23;25;660;2524;3184;180;120;360;0;0;360;300;180;1680;0;22:00;22:15;06:15;06:30;15;480;15
23.06.23;25;840;24722;25562;300;60;360;0;120;1140;1860;21480;240;0;22:45;23:00;05:30;05:50;15;390;20
24.06.23;25;960;28570;29530;300;120;540;0;0;2760;8400;12420;4980;0;23:15;23:30;08:30;10:00;15;540;90
25.06.23;26;1140;4081;5221;180;120;780;0;60;240;2280;0;1560;0;01:30;01:30;08:30;08:35;0;420;5
26.06.23;26;600;2220;2820;240;0;300;0;60;0;660;60;1500;0;23:30;23:45;06:30;07:15;15;405;45
27.06.23;26;960;8100;9060;360;60;480;0;60;0;1980;0;6120;0;23:00;23:15;06:00;06:35;15;405;35
28.06.23;26;1020;2760;3780;300;180;420;0;120;0;0;0;2760;0;22:45;23:00;05:30;06:15;15;390;45
29.06.23;26;1080;12065;13145;600;120;360;0;0;720;2880;180;8280;0;23:15;23:30;06:00;06:10;15;390;10
30.06.23;26;840;13020;13860;300;180;300;0;60;0;600;12060;360;0;23:00;23:15;06:15;06:30;15;420;15
01.07.23;26;1020;14948;15968;480;60;480;0;0;7320;1320;600;5700;0;01:00;01:05;07:40;07:45;5;395;5
02.07.23;27;960;5162;6122;180;60;720;0;0;120;2340;300;2400;0;00:30;00:45;08:20;09:00;15;455;40
03.07.23;27;900;1980;2880;120;120;600;60;0;0;540;0;1440;0;02:30;02:45;06:25;06:40;15;220;15
04.07.23;27;5220;0;5220;2340;1560;1200;120;0;0;0;0;0;0;23:50;00:00;06:35;07:00;10;395;25
05.07.23;27;4920;0;4920;2640;540;1560;120;60;0;0;0;0;0;01:45;01:50;08:00;08:15;5;370;15
06.07.23;27;3840;5760;9600;2160;840;840;0;0;0;1140;0;4620;0;23:20;23:30;07:00;07:30;10;450;30
07.07.23;27;1980;13864;15844;1020;360;420;0;180;300;4680;3780;5100;0;01:45;02:00;06:15;06:25;15;255;10
08.07.23;27;3120;0;3120;900;480;1740;0;0;0;0;0;0;0;23:30;23:40;06:30;07:30;10;410;60
09.07.23;28;2640;0;2640;1140;480;1020;0;0;0;0;0;0;0;00:00;00:20;09:55;10:00;20;575;5